creation_date,relative_position_sigma_r,relative_position_sigma_t,relative_position_sigma_n
2024-05-18 01:19:56+00:00,159.76316639478557,53786.14945756544,8643.25216234858
2024-05-18 16:06:12+00:00,104.64533919537844,68110.8946520966,11458.940783234186
2024-05-19 00:11:23+00:00,104.2973037194647,43598.25002789968,7103.469905485293
2024-05-19 00:27:40+00:00,102.06536190721704,66882.05433550425,11566.5883505402
2024-05-19 08:28:41+00:00,119.11730359875148,72611.53450795151,12636.034601064843
2024-05-19 16:20:15+00:00,95.96112129480208,48857.45563757558,8137.862441233025
2024-05-20 00:15:01+00:00,91.89076784307302,42225.53561426947,6905.803782986421
2024-05-20 00:30:49+00:00,80.23649656677333,35868.81997988289,5621.594643671662
2024-05-20 08:31:07+00:00,91.90125195608957,42225.53560707255,6905.803797497179
2024-05-20 17:53:45+00:00,84.60078967060946,31750.31520256291,4753.929964542124
2024-05-21 00:17:49+00:00,63.392982868417015,21201.17524742575,3414.2756016281255
2024-05-21 00:22:45+00:00,70.3505990016968,24615.091279134933,4089.419643551154
2024-05-21 08:41:07+00:00,68.73902812785208,21778.233114489864,3530.251289366354
2024-05-21 17:39:12+00:00,94.4378237584213,13414.325330336003,2199.9363118651136
2024-05-21 17:44:36+00:00,55.921919679405875,14165.1810677406,2347.3788217046504
2024-05-22 17:36:21+00:00,39.56205021148032,6160.664451867224,980.3957988024144
2024-05-22 17:46:20+00:00,44.41783804105778,7292.146797795875,1205.4688594988065
2024-05-22 19:28:45+00:00,44.416421244788076,7292.146799053325,1205.4688579739206
2024-05-23 01:35:01+00:00,38.462565533295695,5982.017999668742,943.6535573430167
2024-05-23 08:43:08+00:00,38.46364418151979,5982.017999147925,943.653559908233
2024-05-23 16:32:12+00:00,29.536888837877388,3619.7852595659233,395.91745463328175
2024-05-23 18:29:32+00:00,29.5369432487084,3619.785259837712,395.9174549263546
2024-05-23 23:52:57+00:00,26.82838695495427,2239.137858756968,340.4018794280267
2024-05-24 00:10:08+00:00,25.21305526424368,1591.9435804457423,189.1033983937341
2024-05-24 08:32:44+00:00,23.410846983780154,1713.6459768659718,220.71459473030626
2024-05-24 16:32:56+00:00,16.360435536854975,1236.732184665201,56.94807188227481
2024-05-25 00:14:01+00:00,27.153672059438115,301.98672399300267,49.22514891176034
