creation_date,relative_position_sigma_r,relative_position_sigma_t,relative_position_sigma_n
2024-05-17 00:42:42+00:00,88.69628235436603,79039.20745998682,105243.052875769
2024-05-18 13:25:51+00:00,108.43704995915131,51578.14099280776,61246.861431895515
2024-05-19 00:00:27+00:00,104.11857619490883,37022.347995671735,43686.811226475955
2024-05-19 00:11:34+00:00,113.2450417188004,34236.773042743254,41666.45362974984
2024-05-19 06:29:57+00:00,121.1647957997645,31835.925975948987,37212.75299501614
2024-05-19 08:28:41+00:00,192.27646346878106,26756.944106247167,26711.64956389666
2024-05-19 13:28:58+00:00,122.28626603854454,29865.939565028453,36011.64173528434
2024-05-19 16:20:15+00:00,150.95002892657027,25071.2869569131,22751.716565122595
2024-05-20 00:15:01+00:00,113.34884338398194,17350.00489326196,19120.829168261676
2024-05-20 00:30:52+00:00,120.81976416884308,22228.762262362907,28254.44882772947
2024-05-20 00:53:48+00:00,126.39917345531653,23835.42010497553,28254.40441516695
2024-05-20 06:19:00+00:00,124.48000734021538,23232.896747179835,28254.376742966448
2024-05-20 08:31:08+00:00,85.32847085689353,15791.068386046885,15804.135315311829
2024-05-20 14:33:23+00:00,108.82569500146708,17187.64681898548,21332.938139603484
2024-05-20 17:53:45+00:00,66.3442055470774,14540.088969212868,12833.404819377634
2024-05-21 00:17:57+00:00,94.10197589509167,12667.400652244472,15140.534863346786
2024-05-21 00:22:45+00:00,62.54936693675686,11473.378581418505,12833.414763242621
2024-05-21 08:41:07+00:00,45.31474557759255,9254.956121190742,7847.8925084140255
2024-05-21 17:44:36+00:00,43.34890020137403,8568.138690813075,5843.095837405721
2024-05-22 00:28:36+00:00,53.75384120603359,4611.2363247224885,4616.967856520216
2024-05-22 01:06:55+00:00,30.72356932721217,5194.626254008888,5843.124436347618
2024-05-22 08:41:13+00:00,35.92955757540424,3907.6861217106916,2806.7272385501524
2024-05-22 14:10:40+00:00,35.92946822654248,3907.6861298676863,2806.7272463553913
2024-05-22 16:24:14+00:00,41.99026987493576,3500.9128644915236,1058.9003864970387
2024-05-22 17:46:20+00:00,41.99028986145028,3500.9128506488014,1058.9003836310794
2024-05-22 19:28:45+00:00,35.590780158562175,1203.3297951340592,1058.8999154579335
2024-05-22 19:41:11+00:00,38.135492881070405,1823.025174513532,2307.3841241612336
2024-05-23 01:35:01+00:00,46.30145710849134,1178.3852238896757,994.3668555470683
2024-05-23 08:43:08+00:00,60.27424481831347,1256.8949840331509,1190.829060848243
