conjunction_id,creation_date,tags,miss_distance,target_along_track,target_radial,target_cross_track,chaser_along_track,chaser_radial,chaser_cross_track,relative_position_n,relative_position_r,relative_position_t
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-17 00:42:42+00:00,"{cdm,ephemeris_target,enriched}",23085.0,36147.24574442648,79.46256845094693,2.355775215683046,126556.8200666825,211.8444978671399,32.913612645269986,-20354.2,-258.0,-10889.1
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-18 13:25:51+00:00,"{cdm,baseline,enriched}",23115.0,31416.574000085424,90.40212111804088,6.0980570403364665,73650.89166884503,175.38402763547785,22.075321689139965,-20379.8,-317.0,-10904.7
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-19 00:00:27+00:00,"{cdm,baseline,enriched}",19455.0,22787.306050295683,73.88249399072099,6.224224170336855,52534.890873384145,142.8963994902278,23.959866001812337,-17153.5,-316.2,-9174.1
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-19 00:11:34+00:00,"{cdm,ephemeris_target,enriched}",13319.0,19942.31047293876,60.012821259975375,0.6644090644453784,50105.31756928585,141.55759800483636,23.971818922394952,-11743.2,-311.3,-6278.0
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-19 06:29:57+00:00,"{cdm,baseline,enriched}",11245.0,19895.191184075476,68.17772363591929,6.237404885677411,44749.16644534835,134.4856874114542,23.362580850131238,-9910.2,-335.3,-5303.3
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-19 08:28:41+00:00,"{cdm,ephemeris_target_chaser,enriched}",27476.0,19942.54504300939,60.0486355359507,0.6269863061372679,32120.618464447536,172.28790199864903,103.5754974718577,-24228.0,-319.8,-12956.6
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-19 13:28:58+00:00,"{cdm,baseline,enriched}",14481.0,17705.563423976357,69.67877112863425,6.064297477182758,43304.90379645514,143.29573646665432,23.365522511503443,-12765.3,-349.2,-6828.3
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-19 16:20:15+00:00,"{cdm,ephemeris_target_chaser,enriched}",23442.0,19942.478191927676,60.038465481861635,0.6378461620988495,27358.724523107263,131.29442060953093,98.6662603822914,-20669.2,-303.6,-11057.2
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-20 00:15:01+00:00,"{cdm,ephemeris_target_chaser,enriched}",24253.0,11745.717421021443,45.52295244481785,1.2521809459088677,22992.599083167373,96.46864014667867,93.57028862383343,-21384.1,-363.2,-11436.9
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-20 00:30:52+00:00,"{cdm,ephemeris_target,enriched}",8873.0,11745.531091929828,45.49621448558454,1.289152751728343,33977.46720940885,132.41720162166698,31.03562742587645,-7814.5,-414.9,-4182.5
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-20 00:53:48+00:00,"{cdm,baseline,enriched}",10280.0,14559.07727854542,64.54130004979335,6.205727209995293,33977.4213816573,132.4207696615631,31.030428085084893,-9057.6,-382.0,-4848.6
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-20 06:19:00+00:00,"{cdm,baseline,enriched}",10675.0,13550.13219523314,62.29909970913944,6.3365601485789105,33977.4085166945,132.42177126882538,31.02896820254066,-9406.1,-384.2,-5035.0
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-20 08:31:08+00:00,"{cdm,ephemeris_target_chaser,enriched}",19196.0,11745.655933871245,45.51415172752096,1.2644691881920394,19004.234722011835,67.67887673608229,88.2639903009202,-16924.8,-379.5,-9050.6
01HY2BBXRE9B3T57PHRHHCP6XE,2024-05-20 14:33:23+00:00,"{cdm,baseline,enriched}",11603.0,9612.170220062733,51.84752237840207,6.107089976955492,25653.66751710402,115.88281634640168,25.848934126950553,-10224.3,-398.7,-5473.1
